menu,comment,mood,level
「あなたの歩いてきた道は,今日という日に光を連れてきた,これからの毎日も、きっと美しい」 
「静かに積み重ねた努力は,誰よりもあなたを輝かせる,その光は、これからもっと強くなる」 
「心の中の小さな希望が,そっと芽を出すように,今日がやさしく包んでくれますように」 
「あなたが笑うと,世界の色がひとつ明るくなる,その笑顔が、ずっと続きますように」 
「どんな日も、あなたはあなたのままでいい,そのままのあなたが,誰かの勇気になっている」
「逃げてもいいけど\nその先で結局また自分に会う\nだったら今日は一歩だけ進んでみよう」, , 
「完璧じゃなくていい\nでも、止まったままじゃ何も変わらない\n小さく動けば、世界はちゃんと応えてくれる」, , 
「誰も見てないようで\nあなたの努力はちゃんと未来に積み上がってる\n焦らず、でも止まらず」, , 
「優しさだけじゃ守れない日もある\nでも強さだけじゃ進めない日もある\nその両方を持ってるあなたは、もう大丈夫」, , 
「うまくいかない日は\n『まだ途中』ってだけの話\n物語はここから面白くなる」, , 
「今日はあなたが主役の日\nちょっとくらいワガママでも\n世界はちゃんと許してくれるよ」, , 
「ほら、笑ってみて\nその顔だけで\nだいたい全部うまくいくから」, , 
「がんばりすぎてるあなたへ\n今日はゆっくり、堂々と\nサボっていい日です」, , 
「なんだかんだで\nあなたって愛されキャラだから\n今日もきっと大丈夫」, , 
「ちょっとくらい調子に乗っても\nあなたなら可愛いだけだから\n安心してはしゃいでいいよ」, , 
